S No,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome ,CoapplicantIncome ,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
352,Male,No,2,Graduate,No,791000,300000,100000,10,1,Rural,Y
353,Female,Yes,1,Graduate,No,805000,200000,700000,8,1,Rural,Y
354,Male,No,0,Not Graduate,No,875000,400000,600000,2,1,Semi-Rural,Y
355,Male,No,3,Not Graduate,Yes,627000,200000,900000,10,1,#VALUE!,Y
356,Male,No,3,Graduate,Yes,997000,500000,100000,9,1,Rural,Y
357,Male,No,0,Not Graduate,No,410000,300000,600000,4,1,Urban,Y
358,Female,Yes,2,Not Graduate,No,351000,200000,700000,4,1,Rural,N
359,Female,Yes,3,Graduate,No,894000,500000,600000,2,1,Semi-Rural,Y
360,Male,Yes,3,Not Graduate,Yes,517000,500000,1000000,10,1,Rural,Y
361,Male,No,2,Graduate,No,690000,400000,600000,9,1,Rural,Y
362,Female,No,1,Graduate,No,947000,400000,400000,9,0,Semi-Rural,Y
363,Female,Yes,1,Not Graduate,No,978000,200000,400000,10,1,Urban,Y
364,Male,No,2,Not Graduate,No,694000,400000,700000,4,1,Rural,Y
365,Male,Yes,2,Not Graduate,No,444000,0,600000,6,1,Rural,Y
366,Female,No,3,Graduate,No,381000,300000,1000000,5,1,Urban,N
367,Female,No,3,Not Graduate,No,301000,100000,700000,7,1,Urban,Y
368,Female,No,3,Not Graduate,No,300000,100000,600000,6,1,Semi-Rural,Y
369,Male,Yes,1,Not Graduate,No,973000,300000,200000,4,1,Rural,Y
370,Female,Yes,2,Not Graduate,Yes,676000,200000,600000,9,1,Semi-Rural,Y
371,Female,No,0,Not Graduate,No,852000,100000,500000,9,1,Rural,Y
372,Male,Yes,1,Not Graduate,No,352000,400000,900000,3,0,Urban,N
373,Male,Yes,1,Graduate,Yes,403000,400000,300000,6,1,Rural,Y
374,Female,Yes,2,Graduate,No,603000,200000,1000000,6,0,Urban,Y
375,Female,No,0,Not Graduate,No,369000,200000,1000000,4,1,Rural,N
376,Male,Yes,2,Not Graduate,No,840000,0,700000,3,1,Semi-Rural,Y
377,Male,Yes,0,Not Graduate,No,839000,200000,900000,2,1,Urban,N
378,Female,Yes,3,Not Graduate,No,476000,500000,500000,10,1,Urban,Y
379,Female,No,2,Graduate,No,437000,400000,400000,6,1,Urban,Y
380,Female,No,2,Graduate,No,516000,200000,700000,4,1,Semi-Rural,Y
381,Male,Yes,3,Graduate,No,687000,100000,300000,10,1,Urban,Y
382,Male,No,1,Not Graduate,No,281000,500000,100000,10,1,Urban,Y
383,Female,Yes,2,Not Graduate,No,518000,400000,500000,5,1,Urban,Y
384,Male,Yes,1,Not Graduate,No,733000,400000,700000,4,1,Urban,Y
385,Female,No,0,Graduate,No,833000,300000,200000,6,1,Urban,Y
386,Male,Yes,3,Graduate,No,717000,200000,500000,10,1,Rural,Y
387,Male,No,0,Not Graduate,No,540000,400000,1000000,8,1,Semi-Rural,Y
388,Female,No,0,Not Graduate,No,312000,100000,700000,3,0,Urban,N
389,Male,No,1,Graduate,No,801000,300000,200000,7,1,Urban,Y
390,Male,No,3,Not Graduate,No,973000,500000,300000,5,1,Urban,Y
391,Male,No,0,Graduate,No,788000,300000,700000,2,1,#VALUE!,N
392,Female,Yes,3,Not Graduate,No,679000,400000,500000,3,1,Urban,Y
393,Male,No,1,Not Graduate,No,930000,200000,1000000,6,1,Rural,Y
394,Male,Yes,1,Not Graduate,No,330000,300000,700000,5,1,Rural,N
395,Male,Yes,2,Not Graduate,No,859000,500000,400000,7,1,Semi-Rural,Y
396,Female,Yes,2,Graduate,No,636000,100000,300000,2,1,Rural,Y
397,Male,No,2,Not Graduate,No,531000,500000,300000,3,1,Semi-Rural,Y
398,Male,Yes,3,Graduate,Yes,373000,300000,1000000,4,1,Rural,N
399,Female,No,1,Not Graduate,No,571000,400000,100000,5,1,Urban,Y
400,Female,Yes,0,Graduate,No,865000,200000,900000,5,1,Urban,Y
401,Male,Yes,3,Graduate,No,542000,200000,300000,2,1,Semi-Rural,Y
402,Female,No,3,Not Graduate,No,307000,300000,300000,3,0,Urban,Y
403,Female,Yes,3,Not Graduate,No,271000,400000,300000,4,1,Urban,Y
404,Male,Yes,0,Not Graduate,No,694000,300000,500000,10,1,Rural,Y
405,Female,Yes,2,Not Graduate,No,426000,200000,300000,5,1,Urban,Y
406,Male,Yes,2,Not Graduate,No,277000,400000,600000,7,1,Urban,Y
407,Male,No,1,Not Graduate,No,901000,500000,800000,8,1,Rural,Y
408,Female,No,1,Not Graduate,No,622000,200000,300000,9,0,Semi-Rural,Y
409,Male,No,1,Graduate,No,899000,0,300000,7,1,Urban,Y
410,Male,No,2,Not Graduate,No,436000,500000,500000,10,1,Semi-Rural,Y
411,Female,Yes,3,Graduate,No,696000,400000,1000000,6,1,#VALUE!,Y
412,Male,No,2,Not Graduate,No,779000,500000,500000,4,0,Semi-Rural,Y
413,Male,No,2,Not Graduate,No,440000,100000,500000,4,1,Rural,Y
414,Male,Yes,2,Not Graduate,No,418000,400000,200000,5,1,Urban,Y
415,Female,Yes,0,Graduate,No,795000,100000,200000,4,1,Urban,Y
416,Female,No,3,Not Graduate,No,709000,500000,300000,2,0,Semi-Rural,Y
417,Female,Yes,2,Graduate,No,495000,0,200000,5,1,#VALUE!,Y
418,Male,Yes,0,Not Graduate,No,949000,200000,1000000,6,1,Urban,Y
419,Female,No,2,Not Graduate,No,974000,100000,600000,4,1,Semi-Rural,Y
420,Female,Yes,2,Not Graduate,No,647000,400000,600000,7,0,Urban,Y
421,Male,No,1,Not Graduate,No,302000,400000,500000,9,1,Semi-Rural,Y
422,Male,Yes,3,Not Graduate,No,442000,400000,600000,8,1,Urban,Y
423,Male,Yes,2,Not Graduate,No,867000,300000,400000,6,1,Urban,Y
424,Male,No,3,Not Graduate,No,351000,500000,1000000,6,1,Urban,N
425,Female,No,3,Graduate,No,816000,0,600000,5,1,Urban,Y
426,Male,Yes,0,Not Graduate,No,702000,100000,1000000,6,1,Rural,Y
427,Female,No,0,Graduate,Yes,507000,500000,400000,8,1,Rural,Y
428,Female,No,0,Graduate,No,850000,300000,600000,8,1,Rural,Y
429,Female,No,3,Graduate,No,300000,200000,1000000,10,1,Urban,Y
430,Female,Yes,0,Graduate,No,938000,200000,900000,10,0,Urban,Y
431,Female,Yes,3,Graduate,No,687000,100000,400000,2,1,Semi-Rural,Y
432,Male,No,3,Not Graduate,No,992000,200000,500000,8,1,Urban,Y
433,Female,Yes,0,Graduate,Yes,724000,300000,300000,4,1,Rural,Y
434,Male,No,3,Graduate,No,947000,500000,800000,10,0,Rural,Y
435,Female,No,0,Not Graduate,No,449000,300000,200000,5,1,Rural,Y
436,Male,No,0,Graduate,No,492000,100000,800000,3,1,Urban,N
437,Male,No,2,Graduate,No,883000,300000,500000,8,1,Semi-Rural,Y
438,Female,Yes,1,Graduate,No,413000,300000,900000,5,1,Urban,N
439,Male,No,2,Not Graduate,No,478000,100000,100000,5,1,Rural,Y
440,Male,No,2,Not Graduate,No,523000,200000,700000,8,1,Semi-Rural,Y
441,Male,No,0,Not Graduate,No,819000,500000,500000,2,1,Urban,Y
442,Female,Yes,3,Not Graduate,No,712000,200000,1000000,10,1,#VALUE!,Y
443,Male,Yes,1,Not Graduate,No,778000,200000,400000,2,1,Rural,Y
444,Male,No,2,Not Graduate,No,990000,100000,600000,9,1,Semi-Rural,Y
445,Female,Yes,3,Not Graduate,No,592000,100000,100000,2,1,#VALUE!,Y
446,Female,Yes,1,Not Graduate,No,285000,100000,200000,7,1,Urban,Y
447,Female,No,0,Graduate,No,761000,100000,700000,7,0,#VALUE!,Y
448,Female,No,1,Graduate,No,608000,500000,400000,4,1,Semi-Rural,Y
449,Male,Yes,1,Graduate,No,471000,300000,800000,9,1,Rural,Y
450,Female,Yes,3,Not Graduate,No,777000,300000,400000,10,1,Rural,Y
451,Male,Yes,0,Graduate,No,554000,200000,700000,7,1,Rural,Y
452,Female,Yes,0,Not Graduate,No,563000,300000,400000,2,1,Rural,Y
453,Female,No,2,Graduate,No,724000,400000,1000000,2,1,Semi-Rural,N
454,Female,No,2,Not Graduate,No,379000,300000,700000,4,1,Urban,N
455,Male,No,1,Graduate,No,631000,200000,100000,2,1,Rural,Y
456,Female,No,0,Not Graduate,No,356000,400000,200000,5,1,Rural,Y
457,Female,No,0,Not Graduate,No,495000,400000,300000,8,1,Semi-Rural,Y
458,Male,Yes,2,Graduate,No,650000,200000,800000,3,1,Urban,N
459,Female,Yes,2,Not Graduate,No,705000,0,300000,9,1,Rural,Y
460,Female,Yes,3,Not Graduate,No,967000,0,100000,3,1,Rural,Y
461,Male,Yes,3,Not Graduate,Yes,737000,200000,900000,2,1,Semi-Rural,N
462,Female,No,0,Not Graduate,No,860000,200000,300000,3,1,Urban,Y
463,Male,Yes,2,Graduate,No,379000,300000,700000,6,1,Urban,Y
464,Female,Yes,1,Not Graduate,No,865000,400000,500000,7,1,Rural,Y
465,Female,No,1,Not Graduate,No,756000,500000,300000,7,1,Semi-Rural,Y
466,Male,No,3,Graduate,No,794000,300000,800000,7,1,Urban,Y
467,Female,No,1,Graduate,No,989000,0,1000000,8,1,Urban,Y
468,Female,Yes,1,Not Graduate,No,712000,300000,400000,10,1,Semi-Rural,Y
469,Female,Yes,2,Graduate,No,470000,0,500000,4,1,#VALUE!,Y
470,Female,Yes,1,Graduate,No,383000,300000,500000,5,1,Rural,Y
471,Male,No,0,Graduate,No,785000,100000,1000000,4,1,Rural,Y
472,Female,Yes,0,Graduate,No,680000,300000,1000000,3,1,Urban,N
473,Male,No,0,Graduate,No,440000,500000,200000,3,1,Rural,Y
474,Male,No,0,Not Graduate,No,364000,200000,200000,8,1,Semi-Rural,Y
475,Female,No,2,Graduate,No,410000,0,800000,3,0,Urban,N
476,Male,No,3,Not Graduate,No,344000,500000,300000,9,1,Rural,Y
477,Male,Yes,2,Graduate,No,288000,200000,600000,6,1,Urban,Y
478,Female,No,3,Not Graduate,No,369000,0,800000,2,1,Rural,N
479,Female,No,3,Not Graduate,Yes,958000,200000,300000,4,1,Rural,Y
480,Male,No,2,Not Graduate,No,675000,300000,700000,8,1,Rural,Y
481,Female,No,3,Not Graduate,No,949000,400000,200000,5,1,Urban,Y
482,Female,No,0,Not Graduate,Yes,965000,300000,1000000,9,1,Urban,Y
483,Female,No,0,Graduate,No,796000,500000,700000,7,1,Semi-Rural,Y
484,Female,Yes,2,Graduate,Yes,662000,400000,800000,6,1,Urban,Y
485,Female,No,2,Graduate,No,916000,200000,800000,10,1,Rural,Y
486,Male,Yes,2,Not Graduate,No,435000,400000,100000,4,0,Urban,Y
487,Female,No,1,Not Graduate,No,253000,300000,400000,2,1,Semi-Rural,N
488,Female,No,1,Graduate,No,648000,100000,900000,4,0,Urban,Y
489,Female,Yes,2,Graduate,No,712000,200000,800000,10,1,Rural,Y
490,Male,No,0,Not Graduate,No,936000,300000,500000,9,1,Semi-Rural,Y
491,Female,Yes,3,Graduate,No,672000,400000,500000,4,1,Semi-Rural,Y
492,Male,Yes,3,Graduate,No,337000,0,100000,2,0,Rural,Y
493,Male,Yes,3,Graduate,No,941000,200000,300000,9,1,Rural,Y
494,Male,Yes,3,Graduate,No,432000,400000,600000,10,1,Rural,Y
495,Female,No,3,Not Graduate,No,900000,400000,500000,5,1,Semi-Rural,Y
496,Female,Yes,2,Not Graduate,No,509000,200000,500000,4,1,Semi-Rural,Y
497,Female,Yes,3,Graduate,No,633000,200000,200000,5,1,#VALUE!,Y
498,Male,No,1,Not Graduate,No,872000,100000,200000,8,1,Rural,Y
499,Female,Yes,3,Graduate,No,523000,400000,100000,7,1,Rural,Y
500,Male,Yes,2,Graduate,Yes,287000,200000,900000,3,1,Rural,N
501,Female,No,2,Graduate,No,970000,0,100000,4,1,Semi-Rural,Y
502,Female,Yes,2,Not Graduate,No,347000,400000,300000,3,1,Rural,Y
503,Female,Yes,0,Not Graduate,No,793000,300000,300000,2,1,Urban,Y
504,Female,No,0,Graduate,No,284000,500000,900000,2,1,Semi-Rural,N
505,Male,Yes,0,Not Graduate,No,906000,100000,500000,2,0,Urban,Y
506,Male,No,0,Not Graduate,No,759000,100000,400000,8,1,Rural,Y
507,Male,Yes,3,Graduate,Yes,840000,200000,400000,4,1,Rural,Y
508,Male,No,1,Graduate,No,627000,100000,300000,7,1,Urban,Y
509,Male,Yes,0,Graduate,No,642000,400000,500000,2,1,Semi-Rural,Y
510,Female,No,1,Graduate,No,421000,200000,600000,2,1,Urban,N
511,Female,No,0,Not Graduate,No,685000,300000,100000,5,1,Urban,Y
512,Male,Yes,1,Not Graduate,No,633000,200000,700000,10,1,Rural,Y
513,Male,No,0,Not Graduate,No,410000,200000,800000,8,1,Urban,Y
514,Male,No,3,Not Graduate,No,803000,500000,400000,8,1,Semi-Rural,Y
515,Male,Yes,2,Not Graduate,No,424000,200000,900000,2,1,Semi-Rural,N
516,Male,No,2,Graduate,No,490000,300000,600000,3,0,Rural,N
517,Male,Yes,2,Graduate,No,580000,100000,700000,6,1,Urban,Y
518,Male,Yes,1,Not Graduate,No,812000,100000,600000,8,1,Rural,Y
519,Female,Yes,1,Graduate,No,689000,100000,900000,6,1,Rural,Y
520,Female,No,0,Not Graduate,No,337000,0,1000000,5,1,Urban,N
521,Female,Yes,1,Graduate,No,849000,200000,400000,8,1,Semi-Rural,Y
522,Male,No,1,Graduate,No,682000,0,300000,9,0,#VALUE!,Y
523,Female,No,3,Graduate,No,846000,300000,900000,7,1,Semi-Rural,Y
524,Female,No,1,Graduate,No,714000,200000,400000,2,1,Rural,Y
525,Female,No,0,Not Graduate,No,708000,500000,300000,10,0,Urban,Y
526,Female,Yes,1,Not Graduate,No,987000,500000,400000,4,1,Rural,Y
527,Female,No,0,Graduate,No,801000,400000,900000,4,1,Urban,Y
528,Male,No,0,Not Graduate,No,320000,100000,400000,4,1,Semi-Rural,Y
529,Male,Yes,1,Graduate,No,859000,300000,100000,2,0,Urban,Y
530,Female,Yes,2,Graduate,No,611000,400000,1000000,5,1,Rural,Y
531,Female,No,0,Not Graduate,No,662000,300000,500000,3,1,Semi-Rural,Y
532,Female,No,0,Graduate,No,889000,100000,1000000,10,1,Urban,Y
533,Female,No,1,Not Graduate,No,968000,400000,400000,7,1,Semi-Rural,Y
534,Female,No,0,Graduate,No,760000,100000,700000,7,1,Semi-Rural,Y
535,Male,Yes,0,Not Graduate,No,585000,200000,200000,7,1,Rural,Y
536,Male,No,3,Graduate,No,535000,400000,800000,7,1,Urban,Y
537,Female,No,0,Not Graduate,No,716000,100000,500000,3,1,Semi-Rural,Y
538,Male,Yes,0,Graduate,No,998000,400000,500000,7,1,Semi-Rural,Y
539,Male,No,0,Not Graduate,No,288000,100000,1000000,4,0,Rural,N
540,Male,Yes,3,Graduate,No,829000,400000,700000,4,1,Urban,Y
541,Female,Yes,3,Not Graduate,No,833000,400000,100000,4,1,Urban,Y
542,Male,Yes,2,Graduate,No,456000,300000,800000,7,0,Rural,Y
543,Male,No,0,Graduate,No,444000,100000,1000000,6,1,Semi-Rural,Y
544,Male,Yes,1,Graduate,Yes,806000,200000,600000,2,1,Urban,Y
545,Female,Yes,1,Not Graduate,No,557000,100000,200000,4,1,Semi-Rural,Y
546,Female,No,2,Not Graduate,Yes,863000,300000,900000,6,1,Semi-Rural,Y
547,Female,Yes,3,Graduate,Yes,874000,500000,1000000,4,1,Semi-Rural,Y
548,Female,Yes,3,Graduate,No,720000,400000,1000000,7,1,Semi-Rural,Y
549,Female,Yes,1,Graduate,No,702000,200000,600000,4,1,Urban,Y
550,Male,No,2,Graduate,No,873000,200000,600000,2,1,#VALUE!,Y
551,Female,No,2,Graduate,No,764000,200000,500000,3,1,Urban,Y
552,Female,Yes,3,Graduate,No,332000,0,500000,8,1,Urban,Y
553,Female,Yes,1,Graduate,No,536000,300000,700000,2,1,Rural,N
554,Male,No,2,Graduate,No,674000,0,600000,10,1,Urban,Y
555,Female,Yes,3,Graduate,No,825000,0,1000000,7,1,Urban,Y
556,Male,No,2,Not Graduate,No,672000,400000,300000,4,1,Urban,Y
557,Male,Yes,0,Graduate,No,674000,0,400000,4,1,Semi-Rural,Y
558,Female,Yes,0,Graduate,No,345000,500000,400000,4,1,Rural,Y
559,Male,No,3,Graduate,No,349000,200000,700000,7,1,Urban,Y
560,Male,Yes,3,Not Graduate,No,705000,500000,900000,9,1,Rural,Y
561,Female,Yes,0,Not Graduate,No,501000,200000,700000,6,1,Urban,Y
562,Male,No,2,Graduate,Yes,618000,500000,400000,2,1,Rural,Y
563,Male,No,0,Not Graduate,No,835000,400000,500000,4,1,Semi-Rural,Y
564,Female,No,1,Graduate,Yes,910000,200000,500000,4,1,Semi-Rural,Y
565,Male,No,0,Graduate,No,506000,400000,400000,2,1,Semi-Rural,Y
566,Male,Yes,1,Not Graduate,No,465000,400000,500000,2,1,Urban,N
567,Female,Yes,0,Graduate,No,701000,100000,700000,8,1,Semi-Rural,Y
568,Male,No,2,Not Graduate,No,542000,100000,700000,9,0,#VALUE!,Y
569,Male,No,2,Graduate,No,515000,100000,300000,4,1,Semi-Rural,Y
570,Male,Yes,2,Graduate,No,553000,200000,900000,8,1,Semi-Rural,Y
571,Male,Yes,1,Graduate,No,756000,500000,100000,4,1,Rural,Y
572,Female,Yes,2,Graduate,No,477000,400000,200000,3,1,Rural,Y
573,Female,No,0,Graduate,No,679000,300000,800000,10,0,Rural,Y
574,Male,Yes,0,Graduate,No,753000,500000,600000,5,1,Rural,Y
575,Male,No,1,Graduate,No,348000,0,100000,3,1,Rural,Y
576,Female,No,3,Not Graduate,No,497000,300000,700000,8,1,Rural,Y
577,Male,No,2,Not Graduate,No,838000,300000,800000,3,1,Semi-Rural,Y
578,Female,Yes,0,Graduate,No,262000,400000,200000,6,1,#VALUE!,Y
579,Male,Yes,1,Not Graduate,No,748000,0,100000,10,1,Rural,Y
580,Male,Yes,3,Not Graduate,No,617000,300000,900000,8,1,Semi-Rural,Y
581,Female,Yes,3,Graduate,No,339000,200000,800000,10,1,Urban,Y
582,Male,No,3,Not Graduate,No,979000,400000,200000,9,1,Urban,Y
583,Female,Yes,3,Graduate,Yes,265000,300000,900000,5,1,Rural,N
584,Male,No,3,Graduate,Yes,391000,400000,1000000,2,1,Urban,N
585,Male,Yes,1,Not Graduate,No,599000,0,700000,3,1,Semi-Rural,Y
586,Male,No,3,Not Graduate,No,480000,400000,300000,4,1,Urban,Y
587,Female,Yes,2,Graduate,No,297000,400000,600000,5,0,Rural,N
588,Female,Yes,3,Graduate,No,629000,0,400000,8,1,Rural,Y
589,Female,Yes,0,Not Graduate,No,804000,300000,100000,7,0,Semi-Rural,Y
590,Female,Yes,1,Graduate,No,310000,400000,800000,7,0,Urban,Y
591,Female,No,2,Not Graduate,No,787000,200000,1000000,8,1,Urban,Y
592,Male,No,3,Not Graduate,No,597000,400000,100000,9,1,Rural,Y
593,Male,No,1,Graduate,Yes,260000,400000,1000000,10,1,Rural,Y
594,Male,No,1,Graduate,No,269000,100000,700000,7,1,Semi-Rural,Y
595,Male,Yes,2,Not Graduate,No,306000,0,500000,4,1,Urban,N
596,Male,Yes,1,Not Graduate,No,324000,300000,100000,10,1,Urban,Y
597,Female,No,3,Not Graduate,No,687000,0,1000000,10,1,Urban,Y
598,Female,Yes,2,Graduate,No,948000,100000,500000,3,1,Urban,Y
599,Male,Yes,3,Graduate,No,780000,300000,100000,2,1,Rural,Y
600,Male,Yes,0,Not Graduate,No,521000,200000,300000,5,1,Urban,Y
601,Female,Yes,2,Graduate,No,398000,400000,800000,9,1,Rural,Y
602,Male,Yes,1,Graduate,No,456000,100000,900000,4,1,#VALUE!,N
603,Male,No,1,Not Graduate,Yes,376000,500000,600000,6,1,Rural,Y
604,Female,No,1,Graduate,Yes,536000,200000,700000,2,1,Urban,N
605,Male,No,3,Not Graduate,No,988000,400000,500000,5,1,Rural,Y
606,Male,No,2,Not Graduate,No,316000,200000,1000000,4,1,Urban,N
607,Female,Yes,3,Graduate,No,301000,100000,300000,10,1,Urban,Y
608,Male,Yes,1,Not Graduate,No,753000,500000,200000,5,1,Urban,Y
609,Male,No,0,Graduate,No,431000,0,900000,8,1,Urban,Y
610,Female,No,2,Not Graduate,No,436000,400000,300000,8,1,Urban,Y
611,Female,Yes,0,Graduate,No,798000,0,800000,8,1,Urban,Y
612,Female,Yes,1,Not Graduate,No,946000,0,800000,6,1,Urban,Y
613,Male,Yes,1,Not Graduate,No,266000,200000,500000,8,1,Rural,Y
614,Female,Yes,0,Graduate,No,552000,200000,1000000,8,1,Semi-Rural,Y
615,Female,No,0,Not Graduate,No,744000,300000,1000000,9,1,Urban,Y
616,Male,Yes,3,Not Graduate,No,582000,300000,700000,10,1,Semi-Rural,Y
617,Female,No,1,Not Graduate,No,395000,0,900000,2,1,Rural,N
618,Female,Yes,0,Graduate,No,539000,100000,1000000,8,1,Urban,Y
619,Male,No,1,Graduate,No,555000,200000,700000,9,1,Rural,Y
620,Female,Yes,2,Not Graduate,No,922000,200000,700000,10,1,Semi-Rural,Y
621,Female,No,3,Not Graduate,No,516000,300000,300000,3,1,#VALUE!,Y
622,Male,No,0,Graduate,No,372000,0,700000,6,0,Urban,Y
623,Male,No,2,Not Graduate,No,631000,300000,900000,4,1,Rural,Y
624,Male,Yes,3,Graduate,No,834000,100000,300000,7,1,Semi-Rural,Y
625,Female,Yes,2,Not Graduate,No,864000,200000,600000,8,1,Urban,Y
626,Male,No,2,Not Graduate,No,693000,200000,100000,6,1,Rural,Y
627,Female,No,3,Not Graduate,No,489000,200000,700000,3,1,Urban,N
628,Male,Yes,0,Not Graduate,No,765000,400000,300000,9,1,Urban,Y
629,Female,Yes,1,Graduate,No,285000,300000,800000,6,1,Semi-Rural,N
630,Female,No,3,Graduate,Yes,768000,100000,700000,5,1,Rural,Y
631,Female,No,1,Not Graduate,No,556000,300000,1000000,5,1,Rural,Y
632,Male,No,2,Graduate,No,670000,300000,500000,3,1,Urban,Y
633,Female,No,0,Not Graduate,No,885000,400000,100000,10,1,Semi-Rural,Y
634,Male,No,2,Not Graduate,No,716000,400000,600000,10,1,Urban,Y
635,Male,Yes,2,Not Graduate,No,300000,400000,1000000,8,0,Urban,N
636,Female,Yes,0,Graduate,No,743000,100000,300000,6,0,Semi-Rural,Y
637,Male,No,2,Not Graduate,No,719000,400000,900000,6,1,Urban,Y
638,Male,No,1,Graduate,No,274000,0,100000,10,1,Urban,Y
639,Female,No,2,Not Graduate,No,362000,400000,700000,3,1,Semi-Rural,N
640,Female,No,3,Graduate,No,271000,400000,700000,4,1,Rural,N
641,Female,Yes,1,Graduate,No,476000,200000,300000,3,1,Rural,Y
642,Male,Yes,0,Graduate,No,486000,200000,100000,5,1,#VALUE!,Y
643,Female,Yes,3,Graduate,No,663000,100000,600000,2,1,Rural,N
644,Male,No,1,Not Graduate,No,296000,400000,800000,10,1,Rural,Y
645,Female,Yes,0,Not Graduate,Yes,652000,500000,800000,4,1,Rural,Y
646,Female,No,0,Not Graduate,No,585000,0,300000,5,1,Rural,Y
647,Female,No,0,Graduate,No,655000,200000,1000000,9,1,Urban,Y
648,Male,Yes,2,Not Graduate,No,620000,0,300000,9,1,Urban,Y
649,Female,No,1,Not Graduate,Yes,469000,100000,100000,8,1,Urban,Y
650,Female,No,0,Graduate,Yes,893000,400000,900000,6,1,Urban,Y
651,Male,Yes,0,Graduate,No,792000,500000,300000,2,1,Rural,Y
652,Male,Yes,1,Graduate,No,829000,300000,900000,5,1,Semi-Rural,Y
653,Male,Yes,0,Not Graduate,No,857000,200000,400000,7,1,#VALUE!,Y
654,Male,No,2,Graduate,No,704000,200000,200000,9,1,Semi-Rural,Y
655,Female,No,1,Graduate,No,911000,500000,300000,8,0,Semi-Rural,Y
656,Female,Yes,2,Graduate,No,320000,200000,800000,3,0,Rural,N
657,Female,Yes,3,Graduate,No,477000,100000,600000,9,1,Urban,Y
658,Female,No,3,Graduate,No,390000,100000,800000,3,1,Urban,N
659,Female,No,0,Not Graduate,No,568000,500000,400000,7,1,Rural,Y
660,Female,Yes,1,Graduate,No,709000,300000,1000000,9,1,Semi-Rural,Y
661,Female,Yes,2,Not Graduate,No,964000,400000,200000,3,1,Urban,Y
662,Male,Yes,3,Graduate,No,737000,100000,500000,10,1,#VALUE!,Y
663,Male,Yes,0,Graduate,No,915000,400000,1000000,5,1,Semi-Rural,Y
664,Female,No,0,Graduate,No,787000,100000,600000,3,1,Urban,Y
665,Male,Yes,2,Graduate,Yes,985000,500000,900000,4,1,Rural,Y
666,Male,Yes,1,Graduate,No,889000,400000,300000,7,1,Semi-Rural,Y
667,Female,Yes,2,Graduate,No,377000,100000,900000,9,1,Rural,Y
668,Male,Yes,2,Graduate,No,651000,100000,200000,5,1,Rural,Y
669,Female,No,3,Not Graduate,No,871000,0,700000,7,1,Urban,Y
670,Male,No,0,Not Graduate,No,385000,400000,300000,6,1,#VALUE!,Y
671,Male,Yes,2,Not Graduate,No,689000,300000,500000,10,1,Rural,Y
672,Male,Yes,3,Graduate,No,873000,500000,100000,6,1,Urban,Y
673,Female,Yes,3,Not Graduate,No,475000,200000,900000,2,1,Semi-Rural,N
674,Male,Yes,2,Graduate,No,498000,200000,700000,2,1,Rural,N
675,Female,No,1,Graduate,No,849000,400000,900000,3,1,Rural,Y
676,Female,Yes,1,Graduate,No,854000,400000,1000000,7,1,Semi-Rural,Y
677,Female,No,1,Not Graduate,No,679000,100000,1000000,8,1,Urban,Y
678,Female,Yes,3,Not Graduate,No,777000,400000,700000,9,1,Semi-Rural,Y
679,Female,Yes,3,Graduate,No,429000,300000,500000,6,1,Urban,Y
680,Male,Yes,1,Graduate,No,759000,100000,100000,10,1,Urban,Y
681,Male,Yes,2,Graduate,No,709000,100000,800000,3,1,Rural,Y
682,Female,Yes,3,Not Graduate,No,291000,400000,1000000,7,1,#VALUE!,N
683,Female,Yes,1,Not Graduate,No,547000,300000,1000000,2,1,Urban,N
684,Male,Yes,0,Graduate,No,509000,400000,900000,3,1,Urban,N
685,Male,No,1,Not Graduate,No,498000,500000,300000,3,1,Rural,Y
686,Male,No,0,Not Graduate,No,828000,300000,400000,7,1,Rural,Y
687,Male,No,2,Graduate,No,942000,300000,700000,8,1,Urban,Y
688,Female,Yes,0,Not Graduate,No,738000,400000,1000000,6,1,Urban,Y
689,Male,No,0,Not Graduate,No,523000,400000,800000,7,1,Semi-Rural,Y
690,Female,No,3,Graduate,No,369000,300000,200000,9,1,Rural,Y
691,Female,Yes,0,Graduate,Yes,864000,300000,400000,6,1,Urban,Y
692,Female,Yes,3,Graduate,No,264000,300000,700000,7,1,Rural,Y
693,Female,Yes,1,Not Graduate,No,463000,300000,200000,9,0,Urban,Y
694,Male,No,0,Graduate,No,322000,200000,100000,9,1,Urban,Y
695,Female,Yes,2,Not Graduate,No,524000,100000,400000,4,1,Rural,Y
696,Female,No,1,Graduate,No,949000,300000,1000000,9,1,Rural,Y
697,Male,Yes,3,Not Graduate,No,400000,100000,200000,7,1,Urban,Y
698,Male,Yes,3,Graduate,No,956000,300000,1000000,2,1,#VALUE!,N
699,Female,Yes,3,Not Graduate,No,346000,400000,700000,8,1,Semi-Rural,Y
700,Female,No,2,Not Graduate,Yes,738000,400000,200000,5,0,#VALUE!,Y
701,Female,No,1,Not Graduate,No,733000,300000,400000,6,1,Urban,Y
702,Male,Yes,0,Not Graduate,No,324000,0,100000,10,1,Semi-Rural,Y
703,Female,No,3,Not Graduate,No,966000,200000,600000,3,1,Rural,Y
704,Male,Yes,1,Graduate,No,659000,200000,1000000,6,1,Rural,Y
705,Male,No,0,Graduate,No,273000,400000,500000,9,1,Rural,Y
